id,brand_id,category_id,subcategory_id,name_en,name_ar,model,slug,price,discount_price,description_en,description_ar,specifications_en,specifications_ar,images,active,created_at,updated_at
3,9,4,63,Santos Juicers,سانتوس عصارات,santos,santos-juicer-santos-3,0.00,,"Commercial juicer adapted to intensive use thanks to its powerful induction motor and its high output.

Perfect filtration: large basket with very fine sieve (0.5 mm / 0.02'') offering a high quality juice.
Maximum juice extraction: excellent yield.
Extra wide feeding chute (79.5 mm): no need to cut apples, carrots, tomatoes...
Silent: perfect to make juice in front of the customer.
Safety: Electric cut off and motor braking stopping the basket when opening the handle.
Exclusive Ezy-clean™ system: Removable bowl, basket and cover (no tool needed).
Spout height: 200 mm (8.6""), to make juice in glasses, jugs, and blender jars.
Output: 100 l/h","عصارة تجارية مصممة للاستخدام المكثف بفضل محركها التعريفي القوي وعائدها العالي. ترشيح ممتاز: سلة كبيرة مع منخل دقيق جدًا (0.5 مم / 0.02'') تقدم عصيرًا عالي الجودة. استخراج عصير بأقصى كفاءة: عائد ممتاز. فتحة تغذية واسعة للغاية (79.5 مم): لا حاجة لتقطيع التفاح، والجزر، والطماطم... هادئة: مثالية لصنع العصير أمام العملاء. الأمان: قطع كهربائي وكبح محرك عند فتح المقبض. نظام Ezy-clean™ الحصري: وعاء وسلة وغطاء قابلون للإزالة (بدون الحاجة لأدوات). ارتفاع الفوهة: 200 مم (8.6"")، لصنع العصير في أكواب، أباريق، وجرار الخلاط. الإنتاجية: 100 لتر/ساعة",{},{},[],true,2024-06-11 15:40:39+00,2025-02-22 03:38:39+00
4,8,2,64,Hamilton Beach HBH 455,455 هاميلتون بيتش إتش بي إتش,Hbh 455,hamilton-beach-blender-hbh-455-4,0.00,,"Patented Wave~Action® system
Powerful 2.4 peak* Hp motor
Durable sealed switches and adjustable timer
Stackable 48 oz. / 1.4 L BPA-free co-polyester container
Durable metal drive coupling
Available in 120V
2 year warranty
Spec sheet
Interactive Digital Catalog","نظام Wave~Action® الحاصل على براءة اختراع محرك قوي بقوة 2.4 ذروة حصان مفاتيح متينة محكمة الغلق ومؤقت قابل للتعديل حاوية كوبوليستر قابلة للتكديس بسعة 48 أونصة / 1.4 لتر وخالية من BPA محول قيادة معدني متوفر بجهد 120 فولت ضمان لمدة سنتين الكتالوج التفاعلي الرقمي.
",{},{},[],true,2024-06-15 12:00:41+00,2025-12-08 13:04:47.773379+00
5,8,2,64,Hamilton Beach Hbf 1100,هاملتون بيتش كوميرشال كوليناري بليندر,Hbf 1100,hamilton-beach-blender-hbf-1100-5,0.00,,"Low profile design
Powerful 3.5 Hp motor
Lid Interlock indicator light
See-through lid with 120 ml/4 oz. dosing cup
Easy-to-Use Start/Stop Controls
Available in 120V
Lifetime warranty – blade and motor drive coupling
3 year warranty
Spec sheet
Interactive Digital Catalog",تصميم منخفض المحرك القوي بقوة 3.5 حصان ضوء مؤشر تداخل الغطاء غطاء شفاف مع كوب جرعة بسعة 120 مل/4 أونصات أدوات بدء/إيقاف سهلة الاستخدام متوفر بجهد 120 فولت ضمان مدى الحياة - للشفرة وآلية القيادة ضمان لمدة 3 سنوات الكتالوج التفاعلي الرقمي.,{},{},[],true,2024-06-25 11:56:49+00,2025-12-08 13:04:47.773379+00
6,8,2,64,Hamilton Beach Hbf 510,هاملتون بيتش كوميرشال كوليناري بليندر,Hbf 510,hamilton-beach-blender-hbf-510-6,0.00,,"Powerful 2.4 peak* Hp motor
Lid open sensor
Jar alignment sensor
1.4 L /48oz break-resistant BPA-free co-polyester jar
Durable metal drive coupling
High-strength stainless steel blades
118 ml / 4 oz. dosing cup
Available in 230V
2 year warranty
Spec sheet
SKU variants include: HBF510-CE; HBF510-UK
Interactive Digital Catalog","محرك قوي بقوة 2.4 ذروة حصان مستشعر فتح الغطاء مستشعر محاذاة الجرة وعاء كوبوليستر 1.4 لتر / 48 أونصة مقاوم للكسر وخالٍ من BPA محول قيادة معدني قوي شفرات من الفولاذ المقاوم للصدأ عالية القوة كوب جرعة 118 مل / 4 أونصات متوفر بجهد 230 فولت ضمان لمدة سنتين الكتالوج التفاعلي الرقمي SKU المتنوعة تشمل: HBF510-CE; HBF510-UK
",{},{},[],true,2024-06-25 13:45:34+00,2025-12-08 13:04:47.773379+00
8,8,2,64,Hamilton Beach HBB 255,هاملتون بيتش كوميرشال كوليناري بليندر,HBB 255,hamilton-beach-blender-hbb-255-8,0.00,,"Patented Wave~Action® system
1.6 peak Hp*
Durable stainless steel blades
Lid open and jar pad sensor for safety
Sealed paddle switches are water resistant and easy to use
1.4L /48oz break-resistant BPA-free co-polyester jar
Available 0.95L / 32 Oz Stainless Steel Jar
Durable metal drive coupling
Available in 230V
2 year warranty
Spec sheet
SKU variants include: HBB255-CE; HBB255-UK; HBB255-SA; HBB255-AU
Interactive Digital Catalog",نظام Wave~Action® الحاصل على براءة اختراع شفرات من الفولاذ المقاوم للصدأ القوي غطاء مفتوح ومستشعر وسادة الجرة للأمان مفاتيح محكمة الإغلاق مقاومة للماء وسهلة الاستخدام جرة من الكوبوليستر الخالي من BPA بسعة 1.4 لتر / 48 أونصة مقاومة للكسر متوفرة بوعاء من الفولاذ المقاوم للصدأ سعة 0.95 لتر / 32 أونصة كوبلاينغ معدني متين متوفر بجهد 230 فولت ضمان لمدة سنتين الكتالوج التفاعلي الرقمي.,{},{},[],true,2024-06-25 14:03:13+00,2025-12-08 13:04:47.773379+00
10,8,2,64,Hamilton Beach HBH 755,هاملتون بيتش كوميرشال كوليناري بليندر,HBH 755,hamilton-beach-blender-hbh-755-10,4200.00,,"QuietBlend™ technology dramatically reduces noise levels
Powerful 3 peak* Hp motor
64 oz / 2 L Wave~Action® container
Available in both 120V and 230V
3 year warranty
Spec sheet
Interactive Digital Catalog",تقنية QuietBlend™ تقلل من مستويات الضوضاء بشكل كبير محرك قوي بقدرة 3 ذروة حصان* وعاء Wave~Action® بسعة 64 أونصة / 2 لتر متوفر بجهدين كهربائيين 120 فولت و230 فولت ضمان لمدة 3 سنوات الكتالوج التفاعلي الرقمي.,{},{},[],true,2024-06-25 14:12:39+00,2025-12-08 13:04:47.773379+00
11,8,2,64,Hamilton Beach HBH 855,855 هاميلتون بيتش إتش بي إتش,HBH 855,hamilton-beach-blender-hbh-855-11,4350.00,,"Blend your toughest recipes with PowerBlend
Ultra-quiet blending with advanced QuietBlend™ technology
One touch to perfect consistency with Auto Blend
Intuitive touchpad with optimized programming
Stackable 48 oz. / 1.4 L copolyester container
Easy-to-use Quiet Shield™ sound enclosure
Durable hybrid drive coupling
Loaded with 36 cycles in 11 languages
Available in 120V and 230V
3 year parts and labor warranty
Lifetime blade warranty
NSF Certified
Spec sheet
SKU variants include: HBH855-CE; HBH855-UK; HBH855-CN
Interactive Digital Catalog
","اخلط أصعب الوصفات مع PowerBlend خلط هادئ للغاية مع تقنية QuietBlend™ المتقدمة لمسة واحدة للوصول إلى الاتساق المثالي مع Auto Blend لوحة لمس بديهية مع برمجة محسّنة وعاء قابل للتكديس 48 أوقية / 1.4 لتر من الكوبوليستر سهل الاستخدام مع غطاء Quiet Shield™ لعزل الصوت كوبلاينغ متين مختلط ضمان 3 سنوات للأجزاء والعمل ضمان مدى الحياة للشفرات معتمد من NSF يتوفر في 120 فولت و230 فولت مواصفات SKU تشمل: HBH855-CE; HBH855-UK; HBH855-CN الكتالوج التفاعلي الرقمي.
",{},{},[],true,2024-06-25 14:18:20+00,2025-12-08 13:04:47.773379+00
21,25,2,48,Imperial,إمبريال,IR-4-N,imperial-cooking-ranges-ir-4-n-21,0.00,,"Linear burner provides even heating throughout the oven.
Space Saver output is 27,000 BTU (8KW)
Unique burner baffle distributes heat flow to provide even temperatures throughout the oven cavity.
Exclusive heat deflector reflects heat into the oven, not the floor. 100% safety pilot.
Space Saver interior is 20 w x 26 d x 14 h (508 w x 660 d x 356 h mm) and accommodates 18 x 26 (457 x 660 mm) sheet pans left-to-right and front-to-back.
Porcelainized sides, rear, deck and door lining for easy cleaning. Heavy duty door hinge.
Stamped inner door liner provides extra strength while optimizing heat retention.
One chrome oven rack is included.","\يوفر الموقد الشريطي تسخينًا متساويًا في جميع أنحاء الفرن. الإنتاج الموفر للمساحة هو 27,000 وحدة حرارية بريطانية (8 كيلو واط). يقوم حاجز الموقد الفريد بتوزيع تدفق الحرارة لتوفير درجات حرارة متساوية في جميع أنحاء تجويف الفرن. يعكس عاكس الحرارة الحصري الحرارة إلى داخل الفرن بدلاً من الأرضية. يتميز الطيار بالأمان بنسبة 100%. يوفر الجزء الداخلي الموفر للمساحة أبعاد 20 بوصة عرض × 26 بوصة عمق × 14 بوصة ارتفاع (508 و660 و356 ملم) ويمكنه استيعاب أواني الخبز مقاس 18 بوصة × 26 بوصة (457 و660 ملم) بوضعيات متعددة. الأجناب والخلفية والقاع والباب مبطنة بالبورسلين لسهولة التنظيف. يتميز بمفصل باب ثقيل. توفر بطانة الباب الداخلية المختومة قوة إضافية مع تحسين احتفاظ الحرارة. يحتوي على رف فرن مطلي بالكروم واحد.",{},{},[],true,2024-09-12 16:58:47+00,2025-02-22 03:38:39+00
22,25,2,48,Imperial,إمبريال,IR-6-LP,imperial-cooking-ranges-ir-6-lp-22,0.00,,"This unit also features a 26 1/2"" oven base with one chrome oven rack, for all your baking and warming needs. The oven has a 35,000 BTU output and is operated by durable, cast aluminum controls with heat protection grips. A unique baffle is situated above the heating element to keep cooking temperatures even throughout the oven, while an exclusive heat deflector directs the heat toward your products. The oven has a porcelainized interior for easy cleaning, as well as a porcelainized, stamped, inner door liner for excellent heat retention. Standard 18"" x 26"" sheet pans will fit in this oven in a left-to-right or front-to-back position.

Boasting a stainless steel exterior with welded, polished, stainless steel seams, this unit provides outstanding durability in your busy, commercial establishment. The large, 3 1/2"" landing edge also offers space for convenient plating and adding finishing touches to your dishes. This unit is complete with sturdy, stainless steel, 6"" adjustable legs. This unit requires a liquid propane connection for operation.
","تتميز هذه الوحدة أيضًا بقاعدة فرن مقاس 26.5 بوصة مع رف فرن مطلي بالكروم لتلبية جميع احتياجاتك في الخبز والتسخين. يوفر الفرن قدرة حرارية تبلغ 35,000 وحدة حرارية بريطانية ويتم تشغيله بواسطة أدوات تحكم مصنوعة من الألومنيوم المصبوب المتين مع مقابض مقاومة للحرارة. يحتوي الفرن على حاجز فريد فوق عنصر التسخين للحفاظ على درجات حرارة طهي متساوية في جميع أنحاء الفرن، بينما يقوم عاكس الحرارة الحصري بتوجيه الحرارة نحو منتجاتك. الفرن مبطن بالبورسلين لسهولة التنظيف، بالإضافة إلى بطانة باب داخلية مختومة لتحسين احتفاظ الحرارة. تستوعب الأفران المقاسات القياسية 18"" x 26"" من أواني الخبز بوضعيات مختلفة. يتميز هذا الجهاز بهيكل خارجي من الفولاذ المقاوم للصدأ مع وصلات ملحومة وملمعة من الفولاذ المقاوم للصدأ، مما يوفر متانة فائقة في مؤسستك التجارية المزدحمة. كما توفر الحافة الكبيرة بمقاس 3.5 بوصة مساحة لتسهيل تقديم الأطباق. تأتي هذه الوحدة بأرجل متينة من الفولاذ المقاوم للصدأ قابلة للتعديل بارتفاع 6 بوصات. تتطلب الوحدة اتصال غاز البروبان السائل للتشغيل.
",{},{},[],true,2024-09-12 17:01:21+00,2025-02-22 03:38:39+00
25,25,2,48,Imperial,إمبريال,IFS-40-LP,imperial-cooking-ranges-ifs-40-lp-25,0.00,,"A large cold zone and mesh crumb screen help to collect and remove debris from the fry area and maintain oil quality, reducing flavor transfer. The fryer's recessed bottom and 1 1/4"" port full drain valve also allow for easier cleaning and maintenance. To keep your establishment sanitary and safe, A full heat-shield located behind the control panel to prevent grease splashback.

With a 40 lb. capacity, a 304 stainless steel frypot with radius-formed edges, and a stainless steel exterior, this fryer is sure to stand up to the daily demands of your busy commercial kitchen. The tube joint sections are precision welded to the frypot, for added safety and durability. Plus, a durable stainless steel, double-panel door protects the fryer's interior parts and allows for convenient access during maintenance or repairs.

Manufacturer	Imperial
SKU	IFS-40-LP
Condition	New
Length (in.)	15.50
Depth (in.)	30.5
Height (in.)	44.25
Approval	CSA Flame, CSA Star, NSF, CE
Total BTU	105000
Number of Burners	3 Burners","تساعد منطقة التبريد الكبيرة وشبكة تجميع الفتات في جمع وإزالة الحطام من منطقة القلي والحفاظ على جودة الزيت، مما يقلل من انتقال النكهة. يساعد قاع المقلاة المتراجع وصمام التصريف الكامل مقاس 1 1/4"" على تسهيل عملية التنظيف والصيانة. للحفاظ على نظافة وأمان المكان، توجد درع حرارية كاملة خلف لوحة التحكم لمنع ارتداد الشحوم. بقدرة تحمل تصل إلى 40 رطلاً، وحوض قلي من الفولاذ المقاوم للصدأ 304 مع حواف مشكّلة، وهيكل خارجي من الفولاذ المقاوم للصدأ، تم تصميم هذه المقلاة لتلبية متطلبات مطبخك التجاري اليومي. تم لحام الأجزاء المشتركة للأنابيب بدقة في حوض القلي، مما يزيد من الأمان والمتانة. بالإضافة إلى ذلك، توفر الباب الفولاذي المقاوم للصدأ ذو اللوحين حماية للأجزاء الداخلية للمقلاة ويسمح بالوصول السهل أثناء الصيانة أو الإصلاحات.",{},{},[],true,2024-09-12 17:18:42+00,2025-02-22 03:38:39+00
