id,category_id,name_en,name_ar,slug,active,created_at,updated_at
48,2,Cooking Ranges,أفران الطبخ,cooking-ranges,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
50,8,Counter Units,وحدات الطاولة,counter-units,true,2025-12-07 09:02:20.62935+00,2025-12-07 09:02:20.62935+00
51,2,Food Processor,"محضرة الطعام






",food-processor,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
52,2,Bar Equipment,معدات البار,bar-equipment,true,2025-12-07 09:11:13.599673+00,2025-12-07 09:11:13.599673+00
54,3,Ovens,الأفران,ovens,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
55,3,Dough Mixer,عجانة العجين,dough-mixer,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
56,3,Dough Sheeter,فرد العجين,dough-sheeter,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
59,4,Coffee Machine,ماكينة القهوة,coffee-machine,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
60,4,Coffee Grinder,مطحنة القهوة,coffee-grinder,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
63,2,Juicer,عصارة,juicer,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
64,2,Blender,خلاط كهربائي,blender,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
66,5,Soft Ice Cream Machines,ماكينات الآيس كريم الناعم,soft-ice-cream-machines,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
67,5,Hard Ice Cream Machines,ماكينات الآيس كريم الصلب,hard-ice-cream-machines,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
68,5,Ice Maker,صانعة الثلج,ice-maker,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
69,3,Water Doser,موزع الماء,water-doser,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
70,3,Water Chillers,مبردات الماء,water-chillers,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
71,3,Dividers,مقسمات العجين,dividers,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
72,3,Dough Rounder,مكور العجين,dough-rounder,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
73,3,Proofers,خَمَّارات,proofers,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
74,3,Bread Slicers,آلات تقطيع الخبز,bread-slicers,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
76,8,Commercial Refrigerator,ثلاجات تجارية,commercial-refrigerator,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
77,8,Blast Chiller,مبرد صدمات,blast-chiller,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
78,8,Freezer,فريزر,freezer,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
79,9,Pastry Display Cabinet,خزانة عرض المعجنات,pastry-display-cabinet,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
80,9,Supermarket Display Cabinet,خزانة عرض السوبر ماركت,supermarket-display-cabinet,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
81,9,Cake Display Cabinet,خزانة عرض الكيك,cake-display-cabinet,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
82,9,Meat Display Cabinet,خزانة عرض اللحوم,meat-display-cabinet,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
83,9,Food Display Cabinet,خزانة عرض الطعام,food-display-cabinet,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
84,11,JAR,JAR,jar,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
85,12,vacuum packing Machines,ماكينات تعبئة الفراغ,vacuum-packing-machines,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
86,13,Under counter Dish washer,غسالة أطباق تحت المنضدة,under-counter-dish-washer,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
87,13,Hood Type Washing machine,غسالة من نوع هود,hood-type-washing-machine,true,2025-12-07 09:04:33.965409+00,2025-12-07 09:04:33.965409+00
